product_id,product_name,category,price,brand,model,ram,storage,battery,description
451,Headphone 451,headphone,253904.0,Sony,WH-1000XM4,HD,True,True,"Sony WH-1000XM4 with HD RAM, True storage, and a True battery."
452,Headphone 452,headphone,78304.8,Bose,QuietComfort 35 II,HD,True,True,"Bose QuietComfort 35 II with HD RAM, True storage, and a True battery."
453,Headphone 453,headphone,371448.0,Sennheiser,HD 660S,Stereo,True,True,"Sennheiser HD 660S with Stereo RAM, True storage, and a True battery."
454,Headphone 454,headphone,81698.4,JBL,Tune 750BTNC,Stereo,False,True,"JBL Tune 750BTNC with Stereo RAM, False storage, and a True battery."
455,Headphone 455,headphone,135416.4,Apple,AirPods Max,Stereo,True,True,"Apple AirPods Max with Stereo RAM, True storage, and a True battery."
456,Headphone 456,headphone,78677.2,Beats,Solo3 Wireless,Stereo,False,True,"Beats Solo3 Wireless with Stereo RAM, False storage, and a True battery."
457,Headphone 457,headphone,20224.4,Philips,PH805,HD,True,True,"Philips PH805 with HD RAM, True storage, and a True battery."
458,Headphone 458,headphone,166381.6,Audio-Technica,ATH-M50x,Stereo,False,True,"Audio-Technica ATH-M50x with Stereo RAM, False storage, and a True battery."
459,Headphone 459,headphone,144603.2,Bang & Olufsen,Beoplay H9,Stereo,True,True,"Bang & Olufsen Beoplay H9 with Stereo RAM, True storage, and a True battery."
460,Headphone 460,headphone,114632.0,Sony,WH-CH710N,Stereo,True,True,"Sony WH-CH710N with Stereo RAM, True storage, and a True battery."
461,Headphone 461,headphone,154260.4,Beats,Studio3 Wireless,Stereo,False,True,"Beats Studio3 Wireless with Stereo RAM, False storage, and a True battery."
462,Headphone 462,headphone,164626.0,Sennheiser,Momentum 3,Stereo,True,True,"Sennheiser Momentum 3 with Stereo RAM, True storage, and a True battery."
463,Headphone 463,headphone,294470.4,Audio-Technica,ATH-AD900X,Stereo,True,True,"Audio-Technica ATH-AD900X with Stereo RAM, True storage, and a True battery."
464,Headphone 464,headphone,61826.8,JBL,Live 650BTNC,Stereo,False,True,"JBL Live 650BTNC with Stereo RAM, False storage, and a True battery."
465,Headphone 465,headphone,252182.0,AKG,N700NC,Stereo,False,True,"AKG N700NC with Stereo RAM, False storage, and a True battery."
466,Headphone 466,headphone,43951.6,Plantronics,BackBeat Go 810,Stereo,True,True,"Plantronics BackBeat Go 810 with Stereo RAM, True storage, and a True battery."
467,Headphone 467,headphone,360785.6,Sennheiser,IE 900,Stereo,True,True,"Sennheiser IE 900 with Stereo RAM, True storage, and a True battery."
468,Headphone 468,headphone,68364.8,Beats,Powerbeats Pro,HD,True,True,"Beats Powerbeats Pro with HD RAM, True storage, and a True battery."
469,Headphone 469,headphone,152975.2,Apple,AirPods Pro,Stereo,True,True,"Apple AirPods Pro with Stereo RAM, True storage, and a True battery."
470,Headphone 470,headphone,146795.6,Jaybird,Vista 2,Stereo,False,True,"Jaybird Vista 2 with Stereo RAM, False storage, and a True battery."
471,Headphone 471,headphone,18698.4,Sony,WH-H910N,Stereo,True,True,"Sony WH-H910N with Stereo RAM, True storage, and a True battery."
472,Headphone 472,headphone,74715.2,Anker,Soundcore Life Q30,Stereo,True,True,"Anker Soundcore Life Q30 with Stereo RAM, True storage, and a True battery."
