product_id,product_name,category,price,brand,model,connectivity,battery_life,water_resistance,description
301,Smartwatch 301,smartwatch,34330.8,BrandX,Model N52,Bluetooth,36 hours,False,"BrandX Smartwatch 301 with Bluetooth RAM, 36 hours storage, and a False battery."
302,Smartwatch 302,smartwatch,39978.4,BrandI,Model K95,Bluetooth,36 hours,False,"BrandI Smartwatch 302 with Bluetooth RAM, 36 hours storage, and a False battery."
303,Smartwatch 303,smartwatch,23354.8,BrandV,Model O33,Bluetooth,24 hours,True,"BrandV Smartwatch 303 with Bluetooth RAM, 24 hours storage, and a True battery."
304,Smartwatch 304,smartwatch,99122.8,BrandX,Model S6,Wi-Fi,48 hours,True,"BrandX Smartwatch 304 with Wi-Fi RAM, 48 hours storage, and a True battery."
305,Smartwatch 305,smartwatch,340863.6,BrandH,Model B96,Bluetooth,24 hours,True,"BrandH Smartwatch 305 with Bluetooth RAM, 24 hours storage, and a True battery."
306,Smartwatch 306,smartwatch,186900.0,BrandZ,Model J30,Bluetooth,36 hours,False,"BrandZ Smartwatch 306 with Bluetooth RAM, 36 hours storage, and a False battery."
307,Smartwatch 307,smartwatch,355269.6,BrandE,Model I3,Bluetooth,36 hours,False,"BrandE Smartwatch 307 with Bluetooth RAM, 36 hours storage, and a False battery."
308,Smartwatch 308,smartwatch,261200.8,BrandR,Model G83,Bluetooth,24 hours,True,"BrandR Smartwatch 308 with Bluetooth RAM, 24 hours storage, and a True battery."
309,Smartwatch 309,smartwatch,112022.4,BrandV,Model Y46,Bluetooth,36 hours,False,"BrandV Smartwatch 309 with Bluetooth RAM, 36 hours storage, and a False battery."
310,Smartwatch 310,smartwatch,30508.8,BrandW,Model H37,Bluetooth,36 hours,False,"BrandW Smartwatch 310 with Bluetooth RAM, 36 hours storage, and a False battery."
311,Smartwatch 311,smartwatch,130001.2,BrandR,Model G67,Wi-Fi,48 hours,True,"BrandR Smartwatch 311 with Wi-Fi RAM, 48 hours storage, and a True battery."
312,Smartwatch 312,smartwatch,77484.4,BrandI,Model C96,Wi-Fi,48 hours,True,"BrandI Smartwatch 312 with Wi-Fi RAM, 48 hours storage, and a True battery."
313,Smartwatch 313,smartwatch,295150.8,BrandQ,Model W27,Bluetooth,24 hours,True,"BrandQ Smartwatch 313 with Bluetooth RAM, 24 hours storage, and a True battery."
314,Smartwatch 314,smartwatch,345800.0,BrandS,Model L23,Bluetooth,36 hours,False,"BrandS Smartwatch 314 with Bluetooth RAM, 36 hours storage, and a False battery."
315,Smartwatch 315,smartwatch,289716.0,BrandB,Model V10,Bluetooth,24 hours,True,"BrandB Smartwatch 315 with Bluetooth RAM, 24 hours storage, and a True battery."
316,Smartwatch 316,smartwatch,268590.0,BrandQ,Model P29,Wi-Fi,48 hours,True,"BrandQ Smartwatch 316 with Wi-Fi RAM, 48 hours storage, and a True battery."
317,Smartwatch 317,smartwatch,391585.6,BrandI,Model A83,Bluetooth,24 hours,True,"BrandI Smartwatch 317 with Bluetooth RAM, 24 hours storage, and a True battery."
