product_id,product_name,category,price,brand,model,ram,storage,battery,description
1,iPhone 13,mobile,338287.6,Apple,D51,4GB,64GB,4000mAh,"Apple iPhone 13 with 4GB RAM, 64GB storage, and a 4000mAh battery."
2,iPhone 13 Mini,mobile,310000,Apple,D52,4GB,64GB,2400mAh,"Apple iPhone 13 Mini with 4GB RAM, 64GB storage, and a 2400mAh battery."
3,iPhone 13 Pro,mobile,450000,Apple,D53,6GB,128GB,3000mAh,"Apple iPhone 13 Pro with 6GB RAM, 128GB storage, and a 3000mAh battery."
4,iPhone 13 Pro Max,mobile,500000,Apple,D54,6GB,128GB,3500mAh,"Apple iPhone 13 Pro Max with 6GB RAM, 128GB storage, and a 3500mAh battery."
5,iPhone 14,mobile,360000,Apple,D61,4GB,128GB,3200mAh,"Apple iPhone 14 with 4GB RAM, 128GB storage, and a 3200mAh battery."
6,iPhone 14 Plus,mobile,400000,Apple,D62,4GB,128GB,3500mAh,"Apple iPhone 14 Plus with 4GB RAM, 128GB storage, and a 3500mAh battery."
7,iPhone 14 Pro,mobile,550000,Apple,D63,6GB,128GB,3200mAh,"Apple iPhone 14 Pro with 6GB RAM, 128GB storage, and a 3200mAh battery."
8,iPhone 14 Pro Max,mobile,600000,Apple,D64,6GB,128GB,3500mAh,"Apple iPhone 14 Pro Max with 6GB RAM, 128GB storage, and a 3500mAh battery."
9,iPhone SE,mobile,250000,Apple,D71,4GB,64GB,2000mAh,"Apple iPhone SE (3rd generation) with 4GB RAM, 64GB storage, and a 2000mAh battery."
10,iPhone 11,mobile,200000,Apple,D81,4GB,64GB,3000mAh,"Apple iPhone 11 with 4GB RAM, 64GB storage, and a 3000mAh battery."
11,iPhone 12,mobile,250000,Apple,D91,4GB,64GB,2800mAh,"Apple iPhone 12 with 4GB RAM, 64GB storage, and a 2800mAh battery."
12,iPhone 12 Pro,mobile,350000,Apple,D92,4GB,128GB,2800mAh,"Apple iPhone 12 Pro with 4GB RAM, 128GB storage, and a 2800mAh battery."
13,iPhone 12 Pro Max,mobile,400000,Apple,D93,4GB,128GB,3600mAh,"Apple iPhone 12 Pro Max with 4GB RAM, 128GB storage, and a 3600mAh battery."
14,iPhone 11 Pro,mobile,300000,Apple,D82,4GB,64GB,3000mAh,"Apple iPhone 11 Pro with 4GB RAM, 64GB storage, and a 3000mAh battery."
15,iPhone 11 Pro Max,mobile,350000,Apple,D83,4GB,64GB,3500mAh,"Apple iPhone 11 Pro Max with 4GB RAM, 64GB storage, and a 3500mAh battery."
16,iPhone XS,mobile,300000,Apple,D72,4GB,64GB,2600mAh,"Apple iPhone XS with 4GB RAM, 64GB storage, and a 2600mAh battery."
17,iPhone XS Max,mobile,350000,Apple,D73,4GB,64GB,3100mAh,"Apple iPhone XS Max with 4GB RAM, 64GB storage, and a 3100mAh battery."
18,iPhone XR,mobile,250000,Apple,D74,3GB,64GB,2900mAh,"Apple iPhone XR with 3GB RAM, 64GB storage, and a 2900mAh battery."
19,iPhone X,mobile,250000,Apple,D65,3GB,64GB,2700mAh,"Apple iPhone X with 3GB RAM, 64GB storage, and a 2700mAh battery."
20,iPhone 8 Plus,mobile,200000,Apple,D55,2GB,64GB,2600mAh,"Apple iPhone 8 Plus with 2GB RAM, 64GB storage, and a 2600mAh battery."
21,iPhone 8,mobile,150000,Apple,D56,2GB,64GB,1800mAh,"Apple iPhone 8 with 2GB RAM, 64GB storage, and an 1800mAh battery."
22,Samsung Galaxy S21,mobile,75000,Samsung,T53,4GB,64GB,4000mAh,"Samsung Galaxy S21 with 4GB RAM, 64GB storage, and a 4000mAh battery."
23,Samsung Galaxy S21+,mobile,100000,Samsung,G61,8GB,128GB,4800mAh,"Samsung Galaxy S21+ with 8GB RAM, 128GB storage, and a 4800mAh battery."
24,Samsung Galaxy S21 Ultra,mobile,200000,Samsung,G62,12GB,256GB,5000mAh,"Samsung Galaxy S21 Ultra with 12GB RAM, 256GB storage, and a 5000mAh battery."
25,Samsung Galaxy S22,mobile,220000,Samsung,G70,8GB,128GB,3700mAh,"Samsung Galaxy S22 with 8GB RAM, 128GB storage, and a 3700mAh battery."
26,Samsung Galaxy S22+,mobile,250000,Samsung,G71,8GB,256GB,4500mAh,"Samsung Galaxy S22+ with 8GB RAM, 256GB storage, and a 4500mAh battery."
27,Samsung Galaxy S22 Ultra,mobile,255000,Samsung,G72,12GB,512GB,5000mAh,"Samsung Galaxy S22 Ultra with 12GB RAM, 512GB storage, and a 5000mAh battery."
28,Samsung Galaxy Z Fold 3,mobile,300000,Samsung,F70,12GB,256GB,4400mAh,"Samsung Galaxy Z Fold 3 with 12GB RAM, 256GB storage, and a 4400mAh battery."
29,Samsung Galaxy Z Flip 3,mobile,310000,Samsung,F71,8GB,128GB,3300mAh,"Samsung Galaxy Z Flip 3 with 8GB RAM, 128GB storage, and a 3300mAh battery."
30,Samsung Galaxy A53,mobile,55000,Samsung,A53,6GB,128GB,5000mAh,"Samsung Galaxy A53 with 6GB RAM, 128GB storage, and a 5000mAh battery."
31,Samsung Galaxy A33,mobile,57000,Samsung,A33,4GB,64GB,5000mAh,"Samsung Galaxy A33 with 4GB RAM, 64GB storage, and a 5000mAh battery."
32,Samsung Galaxy M33,mobile,50000,Samsung,M33,6GB,128GB,6000mAh,"Samsung Galaxy M33 with 6GB RAM, 128GB storage, and a 6000mAh battery."
33,Samsung Galaxy M53,mobile,80000,Samsung,M53,8GB,256GB,7000mAh,"Samsung Galaxy M53 with 8GB RAM, 256GB storage, and a 7000mAh battery."
34,Samsung Galaxy F23,mobile,33000,Samsung,F23,6GB,128GB,5000mAh,"Samsung Galaxy F23 with 6GB RAM, 128GB storage, and a 5000mAh battery."
35,Samsung Galaxy F41,mobile,25000,Samsung,F41,6GB,64GB,6000mAh,"Samsung Galaxy F41 with 6GB RAM, 64GB storage, and a 6000mAh battery."
36,Samsung Galaxy Xcover 5,mobile,28000,Samsung,Xcover 5,4GB,64GB,5000mAh,"Samsung Galaxy Xcover 5 with 4GB RAM, 64GB storage, and a 5000mAh battery."
37,Samsung Galaxy Tab S7,mobile,25000,Samsung,T870,6GB,128GB,8000mAh,"Samsung Galaxy Tab S7 with 6GB RAM, 128GB storage, and an 8000mAh battery."
38,Samsung Galaxy Tab S7+,mobile,30000,Samsung,T876,8GB,256GB,10090mAh,"Samsung Galaxy Tab S7+ with 8GB RAM, 256GB storage, and a 10090mAh battery."
39,Samsung Galaxy Tab S8,mobile,45000,Samsung,T880,8GB,128GB,8000mAh,"Samsung Galaxy Tab S8 with 8GB RAM, 128GB storage, and an 8000mAh battery."
40,Samsung Galaxy Tab S8+,mobile,10000,Samsung,T886,12GB,256GB,10090mAh,"Samsung Galaxy Tab S8+ with 12GB RAM, 256GB storage, and a 10090mAh battery."
41,Samsung Galaxy Tab S8 Ultra,mobile,13000,Samsung,T887,12GB,256GB,11200mAh,"Samsung Galaxy Tab S8 Ultra with 12GB RAM, 256GB storage, and an 11200mAh battery."
42,Samsung Galaxy Tab S8 Ultra,mobile,12500,Samsung,T887,12GB,256GB,11200mAh,"Samsung Galaxy Tab S8 Ultra with 12GB RAM, 256GB storage, and an 11200mAh battery."
43,iPhone 13,mobile,338287.6,Realme,Model D51,4GB,64GB,4000mAh,"Realme iPhone 13 with 4GB RAM, 64GB storage, and a 4000mAh battery."
44,Galaxy S21,mobile,119579.6,Realme,Model Z85,4GB,64GB,4000mAh,"Realme Galaxy S21 with 4GB RAM, 64GB storage, and a 4000mAh battery."
