product_id,product_name,category,price,brand,model,sound_quality,wireless,noise-cancellation,description
401,Earbuds 401,earbuds,310394.0,Apple,AirPods Pro 2,HD,True,False,"Apple Earbuds 401 with HD RAM, True storage, and a False battery."
402,Earbuds 402,earbuds,65872.8,Sony,WF-1000XM4,Stereo,True,True,"Sony Earbuds 402 with Stereo RAM, True storage, and a True battery."
403,Earbuds 403,earbuds,273014.0,Bose,QuietComfort Earbuds,Stereo,True,True,"Bose Earbuds 403 with Stereo RAM, True storage, and a True battery."
404,Earbuds 404,earbuds,70271.6,Samsung,Galaxy Buds 2,Stereo,True,True,"Samsung Earbuds 404 with Stereo RAM, True storage, and a True battery."
405,Earbuds 405,earbuds,30816.8,Google,Pixel Buds A-Series,Stereo,True,True,"Google Earbuds 405 with Stereo RAM, True storage, and a True battery."
406,Earbuds 406,earbuds,251532.4,Jabra,Elite 75t,Stereo,True,True,"Jabra Earbuds 406 with Stereo RAM, True storage, and a True battery."
407,Earbuds 407,earbuds,329781.2,Anker,Soundcore Liberty 3 Pro,Stereo,True,True,"Anker Earbuds 407 with Stereo RAM, True storage, and a True battery."
408,Earbuds 408,earbuds,74116.0,OnePlus,Bullets Wireless Z,Stereo,True,True,"OnePlus Earbuds 408 with Stereo RAM, True storage, and a True battery."
409,Earbuds 409,earbuds,393736.0,Beats,Beats Fit Pro,Stereo,True,True,"Beats Earbuds 409 with Stereo RAM, True storage, and a True battery."
410,Earbuds 410,earbuds,264174.4,Xiaomi,Airdots Pro 2,Stereo,True,True,"Xiaomi Earbuds 410 with Stereo RAM, True storage, and a True battery."
411,Earbuds 411,earbuds,86746.8,Sony,WF-C500,Stereo,True,True,"Sony Earbuds 411 with Stereo RAM, True storage, and a True battery."
412,Earbuds 412,earbuds,139356.0,Apple,AirPods (3rd Gen),HD,True,False,"Apple Earbuds 412 with HD RAM, True storage, and a False battery."
413,Earbuds 413,earbuds,356742.4,Bose,SoundSport Free,Stereo,True,True,"Bose Earbuds 413 with Stereo RAM, True storage, and a True battery."
414,Earbuds 414,earbuds,232652.0,Samsung,Galaxy Buds Pro,Stereo,True,True,"Samsung Earbuds 414 with Stereo RAM, True storage, and a True battery."
415,Earbuds 415,earbuds,262385.2,Anker,Soundcore Life P3,Stereo,True,True,"Anker Earbuds 415 with Stereo RAM, True storage, and a True battery."
416,Earbuds 416,earbuds,224977.2,Jabra,Elite 7 Pro,Stereo,True,True,"Jabra Earbuds 416 with Stereo RAM, True storage, and a True battery."
417,Earbuds 417,earbuds,234488.8,Google,Pixel Buds Pro,Stereo,True,True,"Google Earbuds 417 with Stereo RAM, True storage, and a True battery."
418,Earbuds 418,earbuds,124121.2,Sony,LinkBuds,Stereo,True,True,"Sony Earbuds 418 with Stereo RAM, True storage, and a True battery."
419,Earbuds 419,earbuds,68770.8,Samsung,Galaxy Buds Live,Stereo,True,True,"Samsung Earbuds 419 with Stereo RAM, True storage, and a True battery."
420,Earbuds 420,earbuds,53000.0,Amazon,Echo Buds,Stereo,True,True,"Amazon Earbuds 420 with Stereo RAM, True storage, and a True battery."
421,Earbuds 421,earbuds,79999.0,Realme,Realme Buds Air 2,Stereo,True,True,"Realme Earbuds 421 with Stereo RAM, True storage, and a True battery."
422,Earbuds 422,earbuds,93000.0,Honor,Honor Choice,Stereo,True,True,"Honor Earbuds 422 with Stereo RAM, True storage, and a True battery."
423,Earbuds 423,earbuds,47000.0,Lenovo,LP40,Stereo,True,True,"Lenovo Earbuds 423 with Stereo RAM, True storage, and a True battery."
424,Earbuds 424,earbuds,59999.0,Soundpeats,TrueFree 2,Stereo,True,True,"Soundpeats Earbuds 424 with Stereo RAM, True storage, and a True battery."
425,Earbuds 425,earbuds,43000.0,Blaupunkt,BL-07,Stereo,True,True,"Blaupunkt Earbuds 425 with Stereo RAM, True storage, and a True battery."
426,Earbuds 426,earbuds,52000.0,Baseus,WM01,Stereo,True,True,"Baseus Earbuds 426 with Stereo RAM, True storage, and a True battery."
427,Earbuds 427,earbuds,68900.0,EDIFIER,TWS1 Pro,Stereo,True,True,"EDIFIER Earbuds 427 with Stereo RAM, True storage, and a True battery."
428,Earbuds 428,earbuds,73500.0,Mi,Mi True Wireless 2,Stereo,True,True,"Mi Earbuds 428 with Stereo RAM, True storage, and a True battery."
429,Earbuds 429,earbuds,79000.0,TP-Link,Tapo A600,Stereo,True,True,"TP-Link Earbuds 429 with Stereo RAM, True storage, and a True battery."
430,Earbuds 430,earbuds,92000.0,Edifier,TWS5,Stereo,True,True,"Edifier Earbuds 430 with Stereo RAM, True storage, and a True battery."
431,Earbuds 431,earbuds,87000.0,Haylou,GT1 Pro,Stereo,True,True,"Haylou Earbuds 431 with Stereo RAM, True storage, and a True battery."
432,Earbuds 432,earbuds,75000.0,Huawei,FreeBuds 4i,Stereo,True,True,"Huawei Earbuds 432 with Stereo RAM, True storage, and a True battery."
433,Earbuds 433,earbuds,95000.0,Sony,WF-XB700,Stereo,True,True,"Sony Earbuds 433 with Stereo RAM, True storage, and a True battery."
434,Earbuds 434,earbuds,61000.0,Skullcandy,Indy ANC,Stereo,True,True,"Skullcandy Earbuds 434 with Stereo RAM, True storage, and a True battery."
435,Earbuds 435,earbuds,79000.0,Oppo,Oppo Enco W51,Stereo,True,True,"Oppo Earbuds 435 with Stereo RAM, True storage, and a True battery."
436,Earbuds 436,earbuds,92000.0,Realme,Realme Buds Q2,Stereo,True,True,"Realme Earbuds 436 with Stereo RAM, True storage, and a True battery."
437,Earbuds 437,earbuds,53000.0,Apple,AirPods Max,Stereo,True,True,"Apple Earbuds 437 with Stereo RAM, True storage, and a True battery."
438,Earbuds 438,earbuds,73000.0,Bose,Sport Earbuds,Stereo,True,True,"Bose Earbuds 438 with Stereo RAM, True storage, and a True battery."
439,Earbuds 439,earbuds,64000.0,Jabra,Elite Active 75t,Stereo,True,True,"Jabra Earbuds 439 with Stereo RAM, True storage, and a True battery."
440,Earbuds 440,earbuds,89000.0,Samsung,Galaxy Buds Live,Stereo,True,True,"Samsung Earbuds 440 with Stereo RAM, True storage, and a True battery."
441,Earbuds 441,earbuds,40000.0,OnePlus,Buds Z,Stereo,True,True,"OnePlus Earbuds 441 with Stereo RAM, True storage, and a True battery."
442,Earbuds 442,earbuds,65000.0,Beats,Beats Fit Pro,Stereo,True,True,"Beats Earbuds 442 with Stereo RAM, True storage, and a True battery."
443,Earbuds 443,earbuds,72000.0,Marshall,Minor III,Stereo,True,True,"Marshall Earbuds 443 with Stereo RAM, True storage, and a True battery."
444,Earbuds 444,earbuds,83000.0,Anker,Soundcore Liberty 3 Pro,Stereo,True,True,"Anker Earbuds 444 with Stereo RAM, True storage, and a True battery."
445,Earbuds 445,earbuds,95000.0,LG,Tone Free FN7,Stereo,True,True,"LG Earbuds 445 with Stereo RAM, True storage, and a True battery."
446,Earbuds 446,earbuds,56000.0,Dyplay,DY-BT28,Stereo,True,True,"Dyplay Earbuds 446 with Stereo RAM, True storage, and a True battery."
