product_id,product_name,category,price,brand,model,gpu,processor,size,description
151,ZenBook,laptop,116230.8,Acer,Model U71,Nvidia GTX 1650,Intel i5,15.6,"Acer ZenBook with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
152,Pavilion,laptop,48986.0,Lenovo,Model J86,Nvidia GTX 1650,Intel i5,15.6,"Lenovo Pavilion with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
153,Inspiron,laptop,145107.2,Acer,Model S38,Nvidia GTX 1650,Intel i5,15.6,"Acer Inspiron with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
154,IdeaPad,laptop,354004.0,Acer,Model F80,Nvidia RTX 2060,Intel i7,17,"Acer IdeaPad with Nvidia RTX 2060 RAM, Intel i7 storage, and a 17 battery."
155,Inspiron,laptop,38813.6,HP,Model Q99,Nvidia GTX 1660,AMD Ryzen 7,15.6,"HP Inspiron with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
156,Pavilion,laptop,46762.8,Lenovo,Model B36,Nvidia RTX 2060,Intel i7,17,"Lenovo Pavilion with Nvidia RTX 2060 RAM, Intel i7 storage, and a 17 battery."
157,ZenBook,laptop,276315.2,Acer,Model P70,Nvidia GTX 1650,Intel i5,15.6,"Acer ZenBook with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
158,Pavilion,laptop,71218.0,Dell,Model Q5,Nvidia RTX 2060,Intel i7,17,"Dell Pavilion with Nvidia RTX 2060 RAM, Intel i7 storage, and a 17 battery."
159,Pavilion,laptop,250964.0,HP,Model G67,Nvidia GTX 1660,AMD Ryzen 7,15.6,"HP Pavilion with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
160,IdeaPad,laptop,18278.4,Acer,Model H2,Nvidia GTX 1650,Intel i5,15.6,"Acer IdeaPad with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
161,ZenBook,laptop,357467.6,Acer,Model B51,Nvidia GTX 1660,AMD Ryzen 7,15.6,"Acer ZenBook with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
162,ZenBook,laptop,139493.2,Lenovo,Model H81,Nvidia GTX 1660,AMD Ryzen 7,15.6,"Lenovo ZenBook with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
163,ZenBook,laptop,239923.6,Acer,Model H98,Nvidia GTX 1650,Intel i5,15.6,"Acer ZenBook with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
164,IdeaPad,laptop,324349.2,Acer,Model Q89,Nvidia GTX 1650,Intel i5,15.6,"Acer IdeaPad with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
165,Pavilion,laptop,136682.0,Dell,Model R55,Nvidia GTX 1660,AMD Ryzen 7,15.6,"Dell Pavilion with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
166,Inspiron,laptop,377627.6,HP,Model O11,Nvidia GTX 1660,AMD Ryzen 7,15.6,"HP Inspiron with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
167,Inspiron,laptop,263642.4,Asus,Model M47,Nvidia GTX 1650,Intel i5,15.6,"Asus Inspiron with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
168,Pavilion,laptop,287977.2,Acer,Model A89,Nvidia GTX 1650,Intel i5,15.6,"Acer Pavilion with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
169,Pavilion,laptop,229670.0,Dell,Model Z49,Nvidia GTX 1660,AMD Ryzen 7,15.6,"Dell Pavilion with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
170,IdeaPad,laptop,410460.4,Asus,Model W92,Nvidia RTX 2060,Intel i7,17,"Asus IdeaPad with Nvidia RTX 2060 RAM, Intel i7 storage, and a 17 battery."
171,Inspiron,laptop,172886.0,Acer,Model U1,Nvidia RTX 2060,Intel i7,17,"Acer Inspiron with Nvidia RTX 2060 RAM, Intel i7 storage, and a 17 battery."
172,Pavilion,laptop,328585.6,Dell,Model R87,Nvidia GTX 1660,AMD Ryzen 7,15.6,"Dell Pavilion with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
173,Aspire,laptop,237655.6,Dell,Model C26,Nvidia GTX 1650,Intel i5,15.6,"Dell Aspire with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
174,Inspiron,laptop,108687.6,Lenovo,Model V92,Nvidia GTX 1660,AMD Ryzen 7,15.6,"Lenovo Inspiron with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
175,Pavilion,laptop,228438.0,Dell,Model B28,Nvidia GTX 1650,Intel i5,15.6,"Dell Pavilion with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
176,ZenBook,laptop,380886.8,Dell,Model I13,Nvidia GTX 1650,Intel i5,15.6,"Dell ZenBook with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
177,Aspire,laptop,323559.6,Lenovo,Model P56,Nvidia RTX 2060,Intel i7,17,"Lenovo Aspire with Nvidia RTX 2060 RAM, Intel i7 storage, and a 17 battery."
178,ZenBook,laptop,48932.8,Asus,Model M87,Nvidia GTX 1650,Intel i5,15.6,"Asus ZenBook with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
179,IdeaPad,laptop,234920.0,Lenovo,Model I42,Nvidia RTX 2060,Intel i7,17,"Lenovo IdeaPad with Nvidia RTX 2060 RAM, Intel i7 storage, and a 17 battery."
180,Pavilion,laptop,191716.0,HP,Model W32,Nvidia GTX 1650,Intel i5,15.6,"HP Pavilion with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
181,Aspire,laptop,374740.8,HP,Model B16,Nvidia GTX 1660,AMD Ryzen 7,15.6,"HP Aspire with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
182,Pavilion,laptop,96569.2,Acer,Model V78,Nvidia GTX 1650,Intel i5,15.6,"Acer Pavilion with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
183,IdeaPad,laptop,212158.8,Lenovo,Model Q4,Nvidia GTX 1660,AMD Ryzen 7,15.6,"Lenovo IdeaPad with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
184,IdeaPad,laptop,97319.6,Dell,Model I19,Nvidia GTX 1650,Intel i5,15.6,"Dell IdeaPad with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
185,Aspire,laptop,24749.2,Lenovo,Model K69,Nvidia GTX 1660,AMD Ryzen 7,15.6,"Lenovo Aspire with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
186,ZenBook,laptop,70254.8,Asus,Model X61,Nvidia GTX 1660,AMD Ryzen 7,15.6,"Asus ZenBook with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
187,ZenBook,laptop,274061.2,Asus,Model K31,Nvidia RTX 2060,Intel i7,17,"Asus ZenBook with Nvidia RTX 2060 RAM, Intel i7 storage, and a 17 battery."
188,Aspire,laptop,247853.2,Dell,Model B86,Nvidia GTX 1650,Intel i5,15.6,"Dell Aspire with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
189,Aspire,laptop,199483.2,Dell,Model B81,Nvidia RTX 2060,Intel i7,17,"Dell Aspire with Nvidia RTX 2060 RAM, Intel i7 storage, and a 17 battery."
190,Aspire,laptop,380506.0,Acer,Model L33,Nvidia RTX 2060,Intel i7,17,"Acer Aspire with Nvidia RTX 2060 RAM, Intel i7 storage, and a 17 battery."
191,IdeaPad,laptop,64108.8,Acer,Model G10,Nvidia RTX 2060,Intel i7,17,"Acer IdeaPad with Nvidia RTX 2060 RAM, Intel i7 storage, and a 17 battery."
192,IdeaPad,laptop,224257.6,Asus,Model X63,Nvidia RTX 2060,Intel i7,17,"Asus IdeaPad with Nvidia RTX 2060 RAM, Intel i7 storage, and a 17 battery."
193,Aspire,laptop,94432.8,Dell,Model H88,Nvidia GTX 1660,AMD Ryzen 7,15.6,"Dell Aspire with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
194,Aspire,laptop,330999.2,HP,Model U46,Nvidia GTX 1650,Intel i5,15.6,"HP Aspire with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
195,ZenBook,laptop,25505.2,Asus,Model M5,Nvidia GTX 1660,AMD Ryzen 7,15.6,"Asus ZenBook with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
196,Aspire,laptop,276208.8,Asus,Model O38,Nvidia GTX 1650,Intel i5,15.6,"Asus Aspire with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
197,Inspiron,laptop,35638.4,Dell,Model J48,Nvidia GTX 1650,Intel i5,15.6,"Dell Inspiron with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
198,Aspire,laptop,371994.0,Asus,Model C57,Nvidia GTX 1660,AMD Ryzen 7,15.6,"Asus Aspire with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
199,IdeaPad,laptop,164544.8,Dell,Model B59,Nvidia GTX 1660,AMD Ryzen 7,15.6,"Dell IdeaPad with Nvidia GTX 1660 RAM, AMD Ryzen 7 storage, and a 15.6 battery."
200,ZenBook,laptop,111160.0,Acer,Model T28,Nvidia RTX 2060,Intel i7,17,"Acer ZenBook with Nvidia RTX 2060 RAM, Intel i7 storage, and a 17 battery."
201,ZenBook,laptop,268634.8,Lenovo,Model K81,Nvidia GTX 1650,Intel i5,15.6,"Lenovo ZenBook with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
202,IdeaPad,laptop,196084.0,Asus,Model L52,Nvidia GTX 1650,Intel i5,15.6,"Asus IdeaPad with Nvidia GTX 1650 RAM, Intel i5 storage, and a 15.6 battery."
